,area,bath,price,location,bhk
2283,1243.0,2.0,46.0,Dehu Road,2
2284,1473.0,2.0,85.0,Dehu Road,2
2286,2200.0,2.0,190.0,Dehu Road,3
2287,1260.0,2.0,75.0,Dehu Road,2
2289,1600.0,3.0,120.0,Dehu Road,3
2290,2000.0,3.0,180.0,Dehu Road,4
2291,1762.0,3.0,109.0,Dehu Road,3
2292,1370.0,2.0,60.0,Dehu Road,2
2293,1220.0,2.0,60.0,Dehu Road,2
2296,1245.0,2.0,125.0,Dehu Road,2
2297,1200.0,2.0,46.0,Dehu Road,2
2298,2250.0,3.0,219.0,Dehu Road,3
2299,3596.0,5.0,251.0,Dehu Road,4
2300,1245.0,2.0,60.0,Dehu Road,2
2301,1100.0,2.0,48.0,Dhankawadi,2
2302,2497.0,3.0,140.0,Dhankawadi,3
2304,1665.0,3.0,95.0,Dhankawadi,3
2305,1040.0,2.0,48.5,Dhankawadi,2
2307,1083.0,2.0,61.75,Dhankawadi,2
2308,2181.0,3.0,152.0,Dhankawadi,4
2309,1100.0,3.0,58.0,Dhankawadi,3
2310,1325.0,2.0,71.55,Dhankawadi,2
2311,1290.0,2.0,74.0,Dhankawadi,2
2312,1480.0,2.0,65.0,Dhankawadi,2
2314,510.0,1.0,25.25,Dhankawadi,1
2315,2280.0,5.0,200.0,Dhankawadi,5
2316,1128.0,2.0,38.24,Dhankawadi,2
2318,1050.0,2.0,62.0,Dhankawadi,2
2319,1185.0,2.0,47.39,Dhankawadi,2
2321,581.91,2.0,25.0,Dhankawadi,1
2322,2000.0,4.0,139.0,Dhankawadi,4
2324,1270.0,2.0,83.0,Dhankawadi,2
2325,1050.0,2.0,45.0,Dhankawadi,2
2328,1200.0,2.0,42.0,Dhankawadi,2
2329,1346.0,2.0,96.17,Dhankawadi,2
2330,2100.0,3.0,170.0,Dhankawadi,3
2331,1400.0,2.0,65.0,Dhankawadi,2
2332,1200.0,3.0,78.0,Dhankawadi,3
2334,1300.0,2.0,65.0,Dhankawadi,2
2336,2238.0,3.0,140.0,Dhankawadi,3
2337,1197.0,2.0,79.0,Dhankawadi,2
2338,1023.0,2.0,42.0,Dhankawadi,2
2341,1650.0,3.0,86.45,Dhankawadi,3
2342,2400.0,3.0,150.0,Dhankawadi,7
2343,708.0,1.0,28.32,Dhankawadi,1
2345,1110.0,2.0,65.0,Dhankawadi,2
2348,1060.0,2.0,35.0,Dhankawadi,2
2349,2266.0,3.0,169.0,Dhankawadi,3
2350,1200.0,7.0,100.0,Dhankawadi,8
2351,1190.0,2.0,60.0,Dhankawadi,2
2352,982.0,2.0,55.0,Dhankawadi,2
2353,3401.0,5.0,230.0,Dhankawadi,4
2354,1334.0,2.0,42.69,Dhankawadi,2
2355,1200.0,2.0,53.0,Dhankawadi,2
2357,1301.0,2.0,65.0,Dhankawadi,2
2358,600.0,6.0,60.0,Dhankawadi,8
2359,1073.0,2.0,60.0,Dhankawadi,2
2361,1065.0,2.0,45.0,Dhankawadi,2
2362,1000.0,2.0,48.0,Dhankawadi,2
2363,1489.0,2.0,82.0,Dhankawadi,3
2364,905.0,1.0,62.0,Dhankawadi,1
2365,2710.0,6.0,142.0,Dhankawadi,4
2366,1180.0,2.0,56.0,Dhankawadi,2
2367,1200.0,2.0,42.0,Dhankawadi,2
2368,1352.0,3.0,93.0,Dhankawadi,2
2370,1700.0,3.0,88.2,Dhankawadi,3
2371,900.0,2.0,90.0,Dhankawadi,2
2373,1015.0,2.0,37.0,Dhankawadi,2
2374,1503.0,2.0,93.0,Dhankawadi,3
2375,1419.0,2.0,87.0,Dhankawadi,3
2376,1142.0,2.0,65.0,Dhankawadi,2
2377,1680.0,3.0,117.0,Dhankawadi,3
2378,1350.0,2.0,65.0,Dhankawadi,2
2379,1200.0,2.0,80.0,Dhankawadi,2
2381,1200.0,3.0,66.0,Dhankawadi,3
2382,1360.0,3.0,75.0,Dhankawadi,3
2383,1400.0,2.0,45.0,Dhankawadi,2
2384,1350.0,2.0,45.0,Dhankawadi,1
2385,1860.0,3.0,130.0,Dhankawadi,3
2386,2990.0,3.0,198.0,Dhankawadi,4
2387,865.0,2.0,40.0,Dhankawadi,2
2388,1270.0,2.0,80.0,Dhankawadi,2
2389,845.0,2.0,45.82,Dhankawadi,2
2390,1200.0,2.0,48.0,Dhankawadi,2
2391,1059.0,2.0,62.0,Dhankawadi,2
2392,1300.0,2.0,80.0,Dhankawadi,2
2393,2980.0,4.0,260.0,Dhankawadi,3
2394,1200.0,2.0,55.0,Dhankawadi,2
2395,795.0,1.0,32.6,Dhankawadi,2
2396,4190.0,4.0,325.0,Dhankawadi,4
2397,1000.0,2.0,58.0,Dhankawadi,2
2400,1130.0,2.0,36.0,Dhankawadi,2
2401,935.0,2.0,45.0,Dhankawadi,2
2402,929.0,1.0,51.0,Dhankawadi,2
2404,1150.0,2.0,40.0,Dhankawadi,2
2409,1750.0,3.0,105.0,Dhankawadi,3
2410,1350.0,3.0,80.99,Dhankawadi,3
2411,1745.0,3.0,140.0,Dhankawadi,3
2412,2500.0,4.0,170.0,Dhankawadi,4
2413,1065.0,2.0,30.75,Dhankawadi,2
2414,1715.0,3.0,120.0,Dhankawadi,3
2415,1346.0,2.0,74.03,Dhankawadi,2
2416,1153.0,2.0,58.0,Dhankawadi,2
2418,964.0,2.0,62.0,Dhankawadi,2
2419,1160.0,2.0,65.0,Dhankawadi,2
2420,1583.0,3.0,95.23,Dhankawadi,3
2421,1850.0,3.0,110.0,Dhankawadi,3
2422,1267.0,3.0,78.0,Dhankawadi,2
2423,500.0,1.0,20.0,Dhankawadi,2
2425,3360.0,5.0,221.0,Dhankawadi,4
2426,600.0,1.0,15.0,Dhayari Phata,1
2430,1175.0,2.0,82.0,Dhayari Phata,2
2431,720.0,2.0,45.0,Dhayari Phata,2
2433,600.0,2.0,55.0,Dhayari Phata,2
2434,1200.0,4.0,90.0,Dhayari Phata,4
2435,1200.0,3.0,95.0,Dhayari Phata,3
2437,2557.0,3.0,141.0,Dhayari Phata,3
2438,1897.0,3.0,120.0,Dhayari Phata,3
2440,1360.0,2.0,85.0,Dhayari Phata,3
2441,1515.0,3.0,93.93,Dhayari Phata,3
2442,2611.0,3.0,239.0,Dhayari Phata,3
2443,1100.0,2.0,71.5,Dhayari Phata,2
2444,1245.0,2.0,86.28,Dhayari Phata,2
2447,1655.0,3.0,115.0,Dhayari Phata,3
2450,1700.0,3.0,97.0,Dhayari Phata,3
2451,1555.0,3.0,82.5,Dhayari Phata,3
2453,1149.0,2.0,75.0,Dhayari Phata,2
2454,648.0,1.0,31.75,Dhayari Phata,1
2457,1457.0,2.0,85.0,Dhayari Phata,2
2458,2059.0,3.0,225.0,Dhayari Phata,3
2460,2690.0,4.0,191.0,Dhayari Phata,4
2463,1109.0,2.0,63.0,Dhayari Phata,2
2464,1856.0,3.0,135.0,Dhayari Phata,3
2465,1680.0,3.0,160.0,Dhayari Phata,3
2466,1150.0,2.0,74.0,Dhayari Phata,2
2468,1165.0,2.0,75.0,Dhayari Phata,2
2471,2065.0,3.0,130.0,Dhayari Phata,3
2475,600.0,1.0,20.0,Dhayari Phata,1
2476,630.0,1.0,60.0,Dhayari Phata,1
2477,924.0,2.0,76.23,Dhayari Phata,2
2480,658.0,1.0,34.0,Dhayari Phata,1
2481,1700.0,3.0,93.5,Dhayari Phata,3
2485,3820.0,1.0,306.0,Dhayari Phata,1
2489,1390.0,2.0,95.0,Dhayari Phata,2
2494,1567.0,3.0,140.0,Dhayari Phata,2
2498,1225.0,2.0,69.0,Dhayari Phata,3
2499,1850.0,4.0,120.0,Dhayari Phata,3
2505,2000.0,2.0,120.0,Dhayari Phata,2
2506,654.0,1.0,38.0,Dhayari Phata,1
2507,4200.0,4.0,255.0,Dhayari Phata,4
2509,1209.0,2.0,100.0,Dhayari Phata,2
2511,1150.0,2.0,90.0,Dhayari Phata,2
2513,1012.0,2.0,65.0,Dhayari Phata,2
2514,1762.0,3.0,112.0,Dhayari Phata,3
2516,3750.0,6.0,295.0,Dhayari Phata,5
2519,1019.0,2.0,62.0,Dhayari Phata,2
2521,1178.0,2.0,80.0,Dhayari Phata,2
2522,1200.0,2.0,73.2,Dhayari Phata,2
2523,2072.0,4.0,151.0,Dhayari Phata,3
2524,1065.0,2.0,70.0,Dhayari Phata,2
2525,1945.0,3.0,115.0,Dhayari Phata,3
2526,1242.0,2.0,78.0,Dhayari Phata,2
2530,2940.0,6.0,201.0,Dhayari Phata,4
2533,1200.0,5.0,125.0,Dhayari Phata,5
2534,970.0,6.0,105.0,Dhayari Phata,6
2535,1520.0,3.0,165.0,Dhayari Phata,3
2537,2400.0,4.0,180.0,Dhayari Phata,4
2539,2650.0,4.0,223.0,Dhayari Phata,4
2543,3385.0,4.0,220.0,Dhayari Phata,4
2544,1510.0,2.0,110.0,Dhayari Phata,3
2547,2010.0,3.0,201.0,Dhayari Phata,3
2548,1755.0,3.0,122.0,Dhole Patil Road,3
2549,1436.0,3.0,74.75,Dhole Patil Road,3
2550,1475.0,3.0,78.29,Dhole Patil Road,3
2551,1850.0,3.0,150.0,Dhole Patil Road,3
2552,1511.0,3.0,95.0,Dhole Patil Road,3
2553,1630.0,3.0,85.0,Dhole Patil Road,3
2554,2300.0,3.0,120.0,Dhole Patil Road,3
2555,2500.0,6.0,115.0,Dhole Patil Road,7
2556,1396.0,2.0,86.51,Dhole Patil Road,3
2557,1480.0,3.0,90.0,Dhole Patil Road,3
2558,996.0,2.0,67.0,Dhole Patil Road,2
2560,1865.0,3.0,124.0,Dhole Patil Road,3
2563,1875.0,2.0,150.0,Dhole Patil Road,3
2564,1300.0,2.0,120.0,Dhole Patil Road,2
2565,1158.0,2.0,85.0,Dhole Patil Road,3
2566,1533.0,3.0,115.0,Dhole Patil Road,3
2573,1290.0,2.0,100.0,Dhole Patil Road,2
2574,1476.0,3.0,98.94,Dhole Patil Road,3
2575,2180.0,3.0,170.0,Dhole Patil Road,3
2578,1801.0,3.0,140.0,Dhole Patil Road,3
2579,2200.0,3.0,130.0,Dhole Patil Road,3
2581,525.0,1.0,30.0,Dhole Patil Road,1
2589,1400.0,2.0,82.0,Dhole Patil Road,2
2590,600.0,3.0,45.0,Dhole Patil Road,2
2593,1200.0,2.0,66.0,Dhole Patil Road,3
2594,1418.0,2.0,104.0,Dhole Patil Road,2
2596,1500.0,2.0,88.0,Dhole Patil Road,2
2598,2640.0,5.0,142.0,Dhole Patil Road,3
2599,1850.0,3.0,150.0,Dhole Patil Road,3
2601,530.0,1.0,29.44,Dhole Patil Road,1
2602,5000.0,4.0,465.0,Dhole Patil Road,4
2604,1890.0,3.0,108.0,Dhole Patil Road,3
2607,1000.0,2.0,62.0,Dhole Patil Road,2
2608,2000.0,4.0,145.0,Dhole Patil Road,5
2612,1500.0,3.0,104.0,Dhole Patil Road,3
2614,1785.0,3.0,120.0,Dhole Patil Road,3
2615,1255.0,3.0,115.0,Dhole Patil Road,3
2619,965.0,2.0,56.0,Dhole Patil Road,2
2623,1120.0,2.0,65.0,Dhole Patil Road,2
2626,1998.0,3.0,117.0,Dhole Patil Road,3
2627,600.0,1.0,45.0,Dhole Patil Road,1
2633,697.0,1.0,35.0,Dhole Patil Road,1
2634,1310.0,2.0,111.0,Dhole Patil Road,2
2635,1169.0,2.0,75.0,Dhole Patil Road,2
2637,1303.0,2.0,80.0,Dhole Patil Road,2
2639,1679.0,3.0,94.86,Dhole Patil Road,3
2640,2630.0,5.0,188.0,Dhole Patil Road,4
2643,703.0,2.0,60.0,Dhole Patil Road,2
2644,1400.0,5.0,97.0,Dhole Patil Road,5
2647,1881.0,3.0,145.0,Dhole Patil Road,3
2652,1441.0,2.0,115.0,Dhole Patil Road,2
2654,1633.0,3.0,110.0,Dhole Patil Road,3
2656,1200.0,2.0,66.0,Dhole Patil Road,3
2657,1980.0,4.0,166.0,Dhole Patil Road,3
2662,700.0,1.0,25.5,Dhole Patil Road,1
2664,1876.0,3.0,150.0,Dhole Patil Road,3
2666,615.0,1.0,43.08,Dhole Patil Road,1
2670,1012.0,2.0,62.0,Dhole Patil Road,2
2672,1100.0,2.0,75.0,Erandwane,2
2673,1580.0,3.0,100.0,Erandwane,3
2674,1438.0,2.0,100.0,Erandwane,2
2675,1200.0,2.0,125.0,Erandwane,4
2678,1240.0,2.0,60.0,Erandwane,2
2680,1050.0,2.0,52.07,Erandwane,2
2681,1875.0,3.0,110.0,Erandwane,3
2682,924.0,2.0,65.0,Erandwane,2
2684,1157.0,2.0,75.0,Erandwane,3
2687,1065.0,2.0,42.6,Erandwane,2
2688,1354.0,3.0,90.0,Erandwane,3
2690,1015.0,2.0,43.0,Erandwane,2
2691,1050.0,2.0,85.0,Erandwane,2
2692,1800.0,4.0,145.0,Erandwane,4
2695,3500.0,4.0,330.0,Erandwane,3
2696,1190.0,2.0,67.0,Erandwane,2
2697,1850.0,3.0,140.0,Erandwane,3
2698,1200.0,7.0,110.0,Erandwane,8
2699,920.0,2.0,37.46,Erandwane,2
2700,1697.0,3.0,115.0,Erandwane,3
2701,850.0,2.0,55.0,Erandwane,2
2702,1447.0,2.0,75.97,Erandwane,2
2703,1088.0,2.0,68.0,Erandwane,2
2707,2885.0,3.0,185.0,Erandwane,4
2708,2100.0,6.0,71.0,Erandwane,6
2709,1310.0,2.0,72.0,Erandwane,2
2713,1787.0,3.0,123.0,Erandwane,3
2714,1340.0,2.0,77.0,Erandwane,2
2715,1036.0,2.0,110.0,Erandwane,2
2716,1363.0,2.0,79.0,Erandwane,2
2717,1615.0,3.0,115.0,Erandwane,3
2718,1314.0,2.0,68.8,Erandwane,2
2719,500.0,1.0,17.0,Erandwane,1
2722,1550.0,4.0,120.0,Erandwane,4
2724,1198.0,2.0,65.0,Erandwane,2
2726,1682.0,3.0,113.0,Erandwane,3
2727,1215.0,2.0,59.0,Erandwane,2
2729,1083.0,2.0,100.0,Erandwane,2
2731,1877.0,4.0,150.0,Erandwane,3
2732,2047.0,3.0,136.0,Erandwane,3
2733,810.0,2.0,34.5,Erandwane,2
2734,1051.0,2.0,61.0,Erandwane,2
2735,1200.0,2.0,58.0,Erandwane,2
2736,1050.0,2.0,80.0,Erandwane,2
2737,1116.0,2.0,40.0,Erandwane,2
2738,1190.0,2.0,39.25,Erandwane,2
2739,762.5,1.0,45.4,Erandwane,1
2742,1225.0,2.0,48.0,Erandwane,2
2743,1025.0,2.0,35.88,Erandwane,2
2744,2388.0,3.0,195.0,Erandwane,3
2745,1800.0,3.0,150.0,Erandwane,3
2746,1139.0,2.0,72.0,Erandwane,2
2747,1445.0,2.0,82.0,Erandwane,2
2748,2400.0,2.0,230.0,Erandwane,1
2749,1352.0,2.0,72.0,Erandwane,2
2750,1206.0,2.0,40.0,Erandwane,2
2751,933.0,2.0,55.0,Erandwane,2
2752,1560.0,2.0,125.0,Erandwane,3
2753,1416.0,2.0,85.0,Erandwane,3
2755,1225.0,2.0,48.0,Erandwane,2
2756,1155.0,2.0,69.18,Erandwane,2
2758,2285.0,4.0,165.0,Erandwane,3
2759,1733.5,3.0,120.0,Erandwane,3
2760,1150.0,2.0,52.0,Erandwane,2
2761,1493.0,2.0,90.0,Erandwane,3
2762,1555.0,3.0,125.0,Erandwane,3
2763,615.0,1.0,46.0,Erandwane,1
2764,3000.0,3.0,265.0,Erandwane,3
2765,1101.0,2.0,50.0,Erandwane,2
2766,1157.0,2.0,47.32,Erandwane,2
2767,1162.0,2.0,64.08,Erandwane,2
2768,1402.0,2.0,95.0,Erandwane,2
2769,1151.0,2.0,46.0,Erandwane,2
2770,2100.0,3.0,210.0,Erandwane,4
2771,1500.0,2.0,140.0,Erandwane,2
2772,1660.0,3.0,128.0,Erandwane,3
2773,1200.0,2.0,62.0,Erandwane,2
2775,1210.0,2.0,69.0,Erandwane,2
2776,1405.0,2.0,99.0,Erandwane,2
2777,950.0,2.0,56.0,Erandwane,2
2780,1128.0,2.0,60.0,Erandwane,2
2781,1122.5,2.0,61.74,Erandwane,2
2782,3895.0,3.0,390.0,Erandwane,3
2783,1457.0,2.0,105.0,Erandwane,3
2784,1500.0,3.0,90.0,Erandwane,3
2786,1075.0,2.0,46.76,Erandwane,2
2787,1767.0,3.0,103.0,Fatima Nagar,3
2788,300.0,3.0,23.0,Fatima Nagar,2
2789,1295.0,2.0,65.0,Fatima Nagar,2
2790,1560.0,3.0,115.0,Fatima Nagar,3
2792,1450.0,2.0,85.0,Fatima Nagar,3
2793,1750.0,3.0,120.0,Fatima Nagar,3
2794,1179.0,2.0,66.02,Fatima Nagar,2
2795,1825.0,3.0,100.0,Fatima Nagar,3
2797,1500.0,2.0,98.0,Fatima Nagar,3
2800,674.0,2.0,29.0,Fatima Nagar,2
2801,1300.0,2.0,60.0,Fatima Nagar,2
2803,1800.0,3.0,180.0,Fatima Nagar,3
2805,550.0,1.0,15.0,Fatima Nagar,2
2806,1200.0,2.0,66.5,Fatima Nagar,3
2807,600.0,4.0,40.0,Fatima Nagar,4
2809,1100.0,3.0,78.0,Fatima Nagar,3
2810,1315.0,2.0,90.0,Fatima Nagar,2
2811,1263.0,2.0,93.32,Fatima Nagar,2
2812,1070.0,2.0,50.0,Fatima Nagar,2
2813,795.0,2.0,32.54,Fatima Nagar,2
2815,1220.0,2.0,50.89,Fatima Nagar,2
2816,1200.0,3.0,70.0,Fatima Nagar,3
2817,1199.0,2.0,65.0,Fatima Nagar,2
2818,1750.0,3.0,180.0,Fatima Nagar,3
2819,1269.0,2.0,75.0,Fatima Nagar,2
2823,1175.0,2.0,45.0,Fatima Nagar,2
2825,1150.0,2.0,77.0,Fatima Nagar,2
2826,3300.0,6.0,165.0,Fatima Nagar,6
2827,1200.0,2.0,108.0,Fatima Nagar,3
2828,2215.0,4.0,156.0,Fatima Nagar,3
2829,1288.0,2.0,70.0,Fatima Nagar,3
2830,1846.0,3.0,145.0,Fatima Nagar,3
2831,700.0,1.0,19.4,Fatima Nagar,2
2832,1460.0,2.0,75.0,Fatima Nagar,3
2833,1095.0,2.0,60.0,Fatima Nagar,2
2835,2145.0,3.0,125.0,Fatima Nagar,3
2836,883.0,2.0,37.0,Fatima Nagar,2
2837,1414.0,2.0,84.18,Fatima Nagar,2
2838,1560.0,3.0,125.0,Fatima Nagar,3
2839,1656.0,3.0,90.0,Fatima Nagar,3
2840,1756.0,3.0,131.0,Fatima Nagar,3
2841,1682.0,3.0,114.0,Fatima Nagar,3
2843,1017.0,2.0,27.0,Fatima Nagar,2
2844,1649.0,3.0,150.0,Fatima Nagar,3
2845,1202.0,2.0,79.0,Fatima Nagar,2
2846,1200.0,2.0,75.0,Fatima Nagar,3
2848,2180.0,3.0,210.0,Fatima Nagar,3
2849,1200.0,2.0,56.0,Fatima Nagar,2
2850,1728.0,3.0,125.0,Fatima Nagar,3
2851,1200.0,4.0,90.0,Fatima Nagar,6
2852,400.0,1.0,35.0,Fatima Nagar,1
2853,1984.0,4.0,145.0,Fatima Nagar,3
2854,1200.0,2.0,61.0,Fatima Nagar,2
2855,1245.0,2.0,75.0,Fatima Nagar,2
2856,1063.0,2.0,32.8,Fatima Nagar,2
2857,3435.0,2.0,341.0,Fatima Nagar,4
2858,1262.0,2.0,67.0,Fatima Nagar,2
2860,1355.0,2.0,97.6,Fatima Nagar,2
2862,1100.0,2.0,49.49,Fatima Nagar,2
2864,1200.0,1.0,36.0,Fatima Nagar,2
2865,1307.0,2.0,50.0,Fatima Nagar,2
2866,1200.0,3.0,76.13,Fatima Nagar,3
2869,1210.0,2.0,82.0,Fatima Nagar,2
2870,1480.0,3.0,75.0,Fatima Nagar,3
2871,2790.0,5.0,198.0,Fatima Nagar,4
2872,1144.0,2.0,65.0,Fatima Nagar,2
2873,1243.0,2.0,46.0,Fatima Nagar,2
2874,1415.0,2.0,120.0,Fatima Nagar,2
2876,2495.0,3.0,130.0,Fatima Nagar,3
2878,1116.0,2.0,45.0,Fatima Nagar,2
2879,1020.0,2.0,30.27,Fatima Nagar,2
2880,1235.0,2.0,52.76,Fatima Nagar,2
2881,1255.0,2.0,65.0,Fatima Nagar,2
2882,1476.0,2.0,73.0,Fatima Nagar,3
2883,2280.0,4.0,125.0,Fatima Nagar,3
2886,1560.0,3.0,90.0,Fatima Nagar,3
2887,2456.0,7.0,85.0,Fatima Nagar,7
2888,1140.0,2.0,34.0,Fatima Nagar,2
2889,1026.0,2.0,50.18,Fatima Nagar,2
2890,1197.0,2.0,75.0,Fatima Nagar,2
2891,1126.0,2.0,39.4,Fatima Nagar,2
2892,1123.0,2.0,60.0,Fatima Nagar,2
2893,1100.0,2.0,50.0,Fatima Nagar,2
2894,3295.0,3.0,310.0,Fatima Nagar,3
2895,1200.0,4.0,80.0,Fatima Nagar,4
2897,1260.0,2.0,55.0,Fatima Nagar,2
2898,1573.0,3.0,100.0,Fatima Nagar,3
2899,1035.0,2.0,55.0,Fatima Nagar,2
2900,3596.0,4.0,268.0,Fatima Nagar,4
2902,1010.0,2.0,32.0,Fatima Nagar,2
2903,1226.0,2.0,65.59,Fatima Nagar,2
2904,510.0,1.0,25.25,Fergusson College Road,1
2905,1427.0,3.0,120.0,Fergusson College Road,3
2906,3600.0,6.0,141.0,Fergusson College Road,6
2908,375.0,2.0,26.0,Fergusson College Road,1
2909,2791.0,3.0,223.0,Fergusson College Road,3
2911,1296.0,2.0,83.0,Fergusson College Road,2
2912,3300.0,5.0,240.0,Fergusson College Road,5
2915,3095.0,3.0,350.0,Fergusson College Road,3
2918,1405.0,2.0,78.0,Fergusson College Road,3
2920,2200.0,2.0,162.0,Fergusson College Road,3
2921,1163.0,2.0,98.86,Fergusson College Road,2
2923,600.0,1.0,28.0,Fergusson College Road,1
2924,360.0,1.0,26.0,Fergusson College Road,1
2925,1750.0,3.0,150.0,Fergusson College Road,3
2926,1179.0,2.0,75.0,Fergusson College Road,2
2929,3500.0,5.0,160.0,Fergusson College Road,6
2930,3067.0,4.0,230.0,Fergusson College Road,4
2932,700.0,1.0,35.0,Fergusson College Road,2
2934,1250.0,3.0,139.0,Fergusson College Road,3
2935,2300.0,3.0,220.0,Fergusson College Road,3
2936,2024.0,3.0,157.0,Fergusson College Road,3
2937,420.0,1.0,17.0,Fergusson College Road,1
2938,2150.0,6.0,205.0,Fergusson College Road,6
2939,1132.0,2.0,79.28,Fergusson College Road,2
2940,1605.0,2.0,85.0,Fergusson College Road,3
2941,1850.0,3.0,98.0,Fergusson College Road,3
2942,2006.0,4.0,196.0,Fergusson College Road,3
2943,1600.0,3.0,180.0,Fergusson College Road,3
2944,1200.0,4.0,98.0,Fergusson College Road,5
2946,1200.0,2.0,75.0,Fergusson College Road,2
2947,1342.0,3.0,92.0,Fergusson College Road,3
2951,1366.0,2.0,83.0,Fergusson College Road,2
2952,1123.0,2.0,56.0,Fergusson College Road,2
2955,1745.0,3.0,100.0,Fergusson College Road,3
2956,1077.0,2.0,93.0,Fergusson College Road,2
2961,1000.0,5.0,98.0,Fergusson College Road,6
2962,1900.0,3.0,155.0,Fergusson College Road,3
2963,2075.0,3.0,115.0,Fergusson College Road,3
2964,1330.0,3.0,73.5,Fergusson College Road,3
2965,1198.0,2.0,86.26,Fergusson College Road,2
2968,1012.0,2.0,59.0,Fergusson College Road,2
2969,1315.0,2.0,75.0,Fergusson College Road,2
2971,1099.0,2.0,65.0,Fergusson College Road,2
2973,3500.0,4.0,185.0,Fergusson College Road,3
2974,1680.0,3.0,125.0,Fergusson College Road,3
2975,1636.0,2.0,82.89,Fergusson College Road,2
2976,4000.0,4.0,325.0,Fergusson College Road,4
2977,2425.0,3.0,197.0,Fergusson College Road,3
2978,3978.0,4.0,428.0,Fergusson College Road,4
2979,1100.0,2.0,60.0,Fergusson College Road,2
2980,1842.0,3.0,115.0,Fergusson College Road,3
2981,973.0,2.0,56.0,Fergusson College Road,2
2982,1141.0,2.0,62.0,Fergusson College Road,2
2983,700.0,1.0,30.84,Fergusson College Road,1
2984,1225.0,2.0,71.05,Fergusson College Road,2
2985,1500.0,3.0,95.0,Fergusson College Road,3
2986,1835.0,3.0,160.0,Fergusson College Road,3
2988,1683.0,3.0,110.0,Fergusson College Road,3
2989,1148.0,2.0,69.0,Fergusson College Road,2
2995,2750.0,5.0,275.0,Fergusson College Road,3
2996,525.0,1.0,26.01,Fergusson College Road,1
3000,2690.0,3.0,295.0,Fergusson College Road,3
3002,1639.0,3.0,107.0,Fergusson College Road,3
3005,1400.0,2.0,105.0,Fergusson College Road,2
3006,700.0,1.0,21.5,Fergusson College Road,1
3007,1225.0,2.0,71.05,Fergusson College Road,2
3009,4800.0,4.0,550.0,Fergusson College Road,4
3010,3758.0,3.0,300.0,Fergusson College Road,3
3011,650.0,2.0,45.0,Fergusson College Road,2
3013,450.0,1.0,20.0,Fergusson College Road,1
3016,1276.0,2.0,69.5,Fergusson College Road,2
3017,2153.0,4.0,120.0,Fergusson College Road,3
3018,1515.0,3.0,80.5,Fergusson College Road,3
3019,1175.0,2.0,86.68,Fergusson College Road,2
3023,1408.0,3.0,80.0,Fergusson College Road,3
3024,1881.0,3.0,115.0,Fergusson College Road,3
3025,1379.0,2.0,85.0,Fergusson College Road,2
3026,510.0,1.0,22.0,Fergusson College Road,1
3028,2061.0,3.0,200.0,Ganesh Peth,3
3029,589.0,1.0,27.0,Ganesh Peth,1
3031,1062.0,2.0,38.0,Ganesh Peth,2
3032,1500.0,3.0,139.0,Ganesh Peth,3
3033,1275.0,2.0,52.0,Ganesh Peth,2
3034,4500.0,5.0,415.0,Ganesh Peth,5
3035,1220.0,2.0,56.5,Ganesh Peth,2
3036,1470.0,2.0,88.64,Ganesh Peth,3
3037,1200.0,2.0,55.0,Ganesh Peth,2
3038,999.0,2.0,45.0,Ganesh Peth,2
3039,1160.0,2.0,44.08,Ganesh Peth,2
3040,2710.0,3.0,251.0,Ganesh Peth,3
3041,1243.0,2.0,58.0,Ganesh Peth,2
3042,1098.0,2.0,72.0,Ganesh Peth,2
3043,1180.0,2.0,50.0,Ganesh Peth,2
3044,1320.0,2.0,110.0,Ganesh Peth,4
3046,1200.0,2.0,66.0,Ganesh Peth,3
3048,1726.0,3.0,145.0,Ganesh Peth,3
3050,1210.0,2.0,72.0,Ganesh Peth,2
3051,1043.0,2.0,65.0,Ganesh Peth,2
3052,1020.0,2.0,42.48,Ganesh Peth,2
3053,1463.0,1.0,142.0,Ganesh Peth,2
3054,1818.0,3.0,135.0,Ganesh Peth,3
3055,1259.0,2.0,67.4,Ganesh Peth,2
3056,1817.0,4.0,153.0,Ganesh Peth,3
3058,1160.0,2.0,46.39,Ganesh Peth,2
3059,1070.0,2.0,37.45,Ganesh Peth,2
3060,1920.0,3.0,150.0,Ganesh Peth,3
3061,1290.0,2.0,80.0,Ganesh Peth,2
3063,2094.0,3.0,113.19,Ganesh Peth,3
3064,1428.0,2.0,80.0,Ganesh Peth,3
3067,1804.0,3.0,102.0,Ganesh Peth,3
3068,3035.0,5.0,271.0,Ganesh Peth,3
3069,1205.0,2.0,70.0,Ganesh Peth,2
3070,1090.0,2.0,35.03,Ganesh Peth,2
3071,1884.0,3.0,98.0,Ganesh Peth,3
3072,1340.0,2.0,60.0,Ganesh Peth,2
3073,2792.0,4.0,220.0,Ganesh Peth,4
3074,1050.0,2.0,52.5,Ganesh Peth,2
3076,1760.0,3.0,160.0,Ganesh Peth,3
3077,1650.0,3.0,100.0,Ganesh Peth,3
3078,1295.0,2.0,95.0,Ganesh Peth,2
3079,1133.0,2.0,38.41,Ganesh Peth,2
3080,1243.0,2.0,46.0,Ganesh Peth,2
3081,1201.0,2.0,59.99,Ganesh Peth,2
3082,1910.0,3.0,142.0,Ganesh Peth,3
3083,1250.0,2.0,58.0,Ganesh Peth,2
3084,1050.0,4.0,90.0,Ganesh Peth,4
